,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,5ee6495d99475e62,True,1.0,1.0,0.7298841211751081,1.0,1.0,1.0,0.8874517171562951
1,b930ed8abf2b5e8d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,fb8df4568d585efa,True,1.0,1.0,0.6201786839588468,1.0,1.0,1.0,0.8417411183161861
3,96588474ccef5f60,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,e4553dc9b5725cb7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,17da0f4b109154d4,True,1.0,1.0,0.6809486702710006,1.0,1.0,0.5,0.8670619459462502
6,85936ccd1b405f4c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,64edcbd39d2b5f08,True,1.0,1.0,0.9813270381053151,1.0,1.0,1.0,0.9922195992105479
8,11f0b99dbce15be4,True,1.0,1.0,0.9838378549473596,1.0,1.0,1.0,0.9932657728947332
9,99e4c28a82735b10,True,1.0,1.0,0.5923209394096695,1.0,1.0,1.0,0.8301337247540289
10,6cd23fffac65568b,True,1.0,1.0,0.6585514459013506,1.0,1.0,1.0,0.8577297691255628
11,43fd9868f2ed549f,True,1.0,1.0,0.774474095188086,1.0,1.0,1.0,0.9060308729950358
12,ce19d75d9b55589d,True,1.0,1.0,0.9023140658809876,1.0,1.0,1.0,0.9592975274504115
13,0b3d3edbc52d5ddd,True,1.0,1.0,0.9156533314972343,1.0,1.0,1.0,0.9648555547905143
14,de85008572b15018,True,1.0,1.0,0.6405218326845432,1.0,1.0,1.0,0.8502174302852263
15,45878940b52550ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,7b4fca2db9255996,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,3251e54ebe415e5c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,8ca47b84db7053a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,5012cae5e4fc57a1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1c77ba7488d35c52,True,1.0,1.0,0.9423679067640489,1.0,1.0,1.0,0.9759866278183537
21,cce49307530e5b60,True,1.0,1.0,0.9518083497640157,1.0,1.0,1.0,0.9799201457350065
22,5e02e80df7fe5f5b,True,1.0,1.0,0.7060217124436701,1.0,1.0,1.0,0.8775090468515292
23,0ddc4576607e561e,True,1.0,1.0,0.7229660996589137,1.0,1.0,1.0,0.884569208191214
24,44cc84f91c6b5bf5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,80cbc88e2410561e,True,1.0,1.0,0.6089382408401375,1.0,1.0,1.0,0.8370576003500573
26,947829285f5d5526,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
27,1983aff496265a16,True,1.0,1.0,0.9227906958561561,1.0,1.0,1.0,0.9678294566067317
28,cde9cee2c4f55145,True,1.0,1.0,0.9067614501881984,1.0,1.0,1.0,0.9611506042450827
29,418c618fc266506b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,152a3fbb37155fa0,True,1.0,1.0,0.8383603737538696,1.0,1.0,1.0,0.932650155730779
31,3216cf4d7e975148,True,1.0,1.0,0.36469839022234807,1.0,1.0,1.0,0.7352909959259785
32,1f174dcc44335ad6,True,1.0,1.0,0.8104149466261971,1.0,1.0,1.0,0.9210062277609156
33,61720db8cab2508a,True,1.0,1.0,0.8113242048304017,1.0,1.0,1.0,0.9213850853460007
34,925e046dba2f525f,True,1.0,1.0,0.8159690983246114,1.0,1.0,1.0,0.9233204576352548
35,998a30325ca25437,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,69ad18166f085da8,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
37,fb44fa6567a65ad0,True,1.0,1.0,0.9763663862486371,1.0,1.0,1.0,0.9901526609369321
38,90c5557d1eec55a0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,7ccf4b40faff5ac4,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,e7756dc30c605482,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,5e4dd8c91b8453bf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,6c6a6b002f715d03,True,1.0,1.0,0.7442779140782677,1.0,1.0,1.0,0.8934491308659448
43,169ccb03f27e589d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,f51f9c282b9a54aa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,ad0c441309de5d2e,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
46,e36849f8d9e15ce8,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
47,54a295777c3a5d46,True,1.0,1.0,0.626081215319839,1.0,1.0,1.0,0.8442005063832663
48,a7c6cc3a1840584f,True,1.0,1.0,0.1587830360223234,1.0,1.0,1.0,0.6494929316759681
49,e0545b6d2b755ea9,True,1.0,1.0,0.783751108388118,1.0,1.0,1.0,0.9098962951617159
50,fd20892efbe35102,True,1.0,1.0,0.796626487729682,1.0,1.0,0.5,0.9152610365540342
51,42032a0cedd95dc9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
