,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,97628f2e9ee55826,True,1.0,1.0,0.7948506012957411,1.0,1.0,1.0,0.9145210838732254
1,e8e01645fcde5b8e,True,1.0,1.0,0.9233267020311857,1.0,1.0,1.0,0.968052792512994
2,88e453ca4644586f,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
3,09a81436114951ab,True,1.0,1.0,0.8666023254569385,1.0,1.0,1.0,0.9444176356070577
4,a96abad3a09753c5,True,1.0,1.0,0.4127184104270688,1.0,1.0,1.0,0.7552993376779454
5,64b99da814205341,True,1.0,1.0,0.842137876123173,1.0,1.0,1.0,0.9342241150513221
6,d34d0398de585e6c,True,1.0,1.0,0.668269125767658,1.0,1.0,1.0,0.8617788024031908
7,1b5a55897d2950f9,True,1.0,1.0,0.7372363579981214,1.0,1.0,1.0,0.8905151491658838
8,f2508193ac0c5f27,True,1.0,1.0,0.6265469849399189,1.0,1.0,1.0,0.8443945770582996
9,bf896d504b4356c7,True,1.0,1.0,0.31965261360413444,1.0,1.0,1.0,0.716521922335056
10,018ba0bc5f145074,True,1.0,1.0,0.7798663856943471,1.0,1.0,1.0,0.9082776607059779
11,40d51aff75a85ab9,True,1.0,1.0,0.7278095473661398,1.0,1.0,1.0,0.8865873114025583
12,b637b5849b475a18,True,1.0,1.0,0.746536662543021,1.0,1.0,1.0,0.8943902760595921
13,e2c14ab1fbe350b1,True,1.0,1.0,0.5830857471389498,0.0,1.0,0.5,0.40961906130789577
14,ffd429cac51751d9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3aff98e018195468,True,1.0,1.0,0.7827985881601413,1.0,1.0,1.0,0.9094994117333922
16,806b014bc8c15160,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1537a74401845849,True,1.0,1.0,0.652796377716323,1.0,1.0,1.0,0.8553318240484679
18,ec611f7d00d85b31,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,df284ad97ad55a31,True,1.0,1.0,0.8066219763278013,1.0,1.0,1.0,0.9194258234699172
20,decc2e4c0f445afc,True,1.0,1.0,0.7487646841962623,1.0,1.0,1.0,0.8953186184151093
21,95ba88fe9c385123,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
