,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,008144fe47ac5f74,True,1.0,1.0,0.8273389216421649,1.0,1.0,1.0,0.9280578840175687
1,14c000d2a271534a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,c72c3c003bc95aab,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
3,9b88dfaff2615c83,True,1.0,1.0,0.7838807867134217,1.0,1.0,1.0,0.9099503277972589
4,7caa2336614b5ad3,True,1.0,1.0,0.9699199748713404,1.0,1.0,1.0,0.9874666561963918
5,13b9787d163b5072,True,1.0,1.0,0.499722690902014,1.0,1.0,1.0,0.7915511212091725
6,c093d999a01c5e92,True,1.0,1.0,0.8900040199454979,1.0,1.0,1.0,0.9541683416439574
7,674e6f0f529a51f7,True,1.0,1.0,0.4576558647517839,1.0,1.0,1.0,0.7740232769799099
8,8bb7091fe0d959fc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9fc5098e21355c6e,True,1.0,1.0,0.8587675841682443,1.0,1.0,1.0,0.9411531600701019
10,2403645ef4fe5b10,True,1.0,1.0,0.8332238244804282,1.0,1.0,1.0,0.930509926866845
11,699a6c3e2fc4597e,True,1.0,1.0,0.8737157470543789,1.0,1.0,1.0,0.9473815612726578
12,d68601dbb9d45f6b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,2752876d0e005d74,True,1.0,1.0,0.8092763912674779,1.0,1.0,1.0,0.9205318296947823
14,e26de26a56dd5d21,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,d20a475e7b1956bf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,ce9ee9a68a4c5e93,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,13fe271547945a97,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,7af63267db5c5415,True,1.0,1.0,0.7737272390210724,1.0,1.0,1.0,0.9057196829254468
19,eb4bbe69b80d5f12,True,1.0,1.0,0.8747748478731966,1.0,1.0,1.0,0.9478228532804985
20,fd9dc4abc0d357a1,True,1.0,1.0,0.5735558173378601,1.0,1.0,1.0,0.822314923890775
21,44230a68f8305c14,True,1.0,1.0,0.9239245199729302,1.0,1.0,1.0,0.9683018833220544
22,de0726643f515304,True,1.0,1.0,0.8317252650280412,1.0,1.0,1.0,0.9298855270950172
23,6894aab92b0058dd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,c9459a7641335bba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0d2ff90baf395430,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,2034e8ae11cc594e,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
27,02379e524f105926,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,3e41024d080454b5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,bcf92cdb596a5fa2,True,1.0,1.0,0.8371732978045521,1.0,1.0,1.0,0.9321555407518968
30,db601036b2fb58d7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,4606b66d9fe75354,True,1.0,1.0,0.6613153451769745,1.0,1.0,1.0,0.8588813938237395
32,695beb73604159b7,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
33,5cdf559f99b859a4,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
34,9c62f0bf33fd542d,True,1.0,1.0,0.8683276299089611,1.0,1.0,1.0,0.9451365124620672
35,7c62648ff8a25812,True,1.0,1.0,0.8433126879919961,1.0,1.0,1.0,0.934713619996665
36,2f23d31a3ddf5de9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
