,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,de0fd47c70d3500a,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
1,d546193a3a28587f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,b20e8629283e540c,True,1.0,1.0,0.6273002916921748,1.0,1.0,1.0,0.8447084548717395
3,e22fe7366ecd5c70,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
4,f9532e6ad0b05fbb,True,1.0,1.0,0.944028045010092,1.0,1.0,1.0,0.9766783520875384
5,a422962469ff5d27,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,9100530861d851b0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,862ca192b71f5d93,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8d8806333d865527,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8f5485a8338c5278,True,1.0,1.0,0.9279722780172577,1.0,1.0,1.0,0.9699884491738574
10,88207b881eb5573c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,5cbb02f3e0e253e5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,73eda22129255831,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
13,ab548d52e69b5ed4,True,1.0,1.0,0.19095525438208974,1.0,1.0,1.0,0.6628980226592041
14,982b57b1c7c7503a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,3e9b399280e250fc,True,1.0,1.0,0.7470313177468553,1.0,1.0,1.0,0.8945963823945231
16,d09ecc45a5685873,True,1.0,1.0,0.6771214885197379,1.0,1.0,1.0,0.8654672868832242
17,3380d56c05ba594b,True,1.0,1.0,0.8627310949775814,1.0,1.0,1.0,0.9428046229073255
18,d6eda165241a53b9,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
19,e1e8aae3165c5652,True,1.0,1.0,0.7815692242684392,1.0,1.0,1.0,0.9089871767785164
20,4ae68544ec0f502c,True,1.0,1.0,0.742897944762606,1.0,1.0,1.0,0.8928741436510857
21,cde54c98cbec5255,True,1.0,1.0,0.9491668933313169,1.0,1.0,1.0,0.9788195388880486
22,6ce0bfddedef5981,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
23,cdf51b82bae55641,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
24,655917ea5da455c8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,a807cfefb041572b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,73e0459194ce577f,True,1.0,1.0,0.1571477130415593,1.0,1.0,1.0,0.6488115471006497
27,a04a20407bf95386,True,1.0,1.0,0.8433542659075569,1.0,1.0,1.0,0.9347309441281487
28,32af8f1654f057d7,True,1.0,1.0,0.6518164972654445,1.0,1.0,1.0,0.8549235405272686
29,604f30d83d8652ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,2d30620b507f5f7c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,9c768fba2b4c5d19,True,1.0,1.0,0.8555741708522551,1.0,1.0,1.0,0.9398225711884396
32,06ce8610ceea51f4,True,1.0,1.0,0.7671428392136852,1.0,1.0,1.0,0.9029761830057023
33,a810e698e69e5e70,True,1.0,1.0,0.7614030197548247,1.0,1.0,1.0,0.9005845915645102
34,7178178922315ef7,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,17da0f4b109154d4,True,1.0,1.0,0.7591006557257902,1.0,1.0,0.5,0.8996252732190793
36,9abf3af825a35a9e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,3bc4c087ab1a50a3,True,1.0,1.0,0.630775500944171,1.0,1.0,1.0,0.846156458726738
38,8ce2cf49a1955788,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,bdd67f08ac585568,True,1.0,1.0,0.8977626433531319,1.0,1.0,1.0,0.9574011013971383
40,19efcf474dd85579,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
41,924f7c86a30b55c7,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
42,8ca47b84db7053a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,77ae9dba6f05550d,True,1.0,1.0,0.8079898037911148,1.0,1.0,1.0,0.9199957515796312
44,0b57b00279885fd4,True,1.0,1.0,0.8820206543097128,1.0,1.0,1.0,0.9508419392957137
45,a5a4a6add0d05113,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,ddc1271ea57154bc,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
47,0698ddce973b50ba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,ef72c411731f5e79,True,1.0,1.0,0.7383882933409768,1.0,1.0,1.0,0.890995122225407
49,c617243cb58658eb,True,1.0,1.0,0.7776511856545459,1.0,1.0,1.0,0.9073546606893942
50,e194e033ee72504a,True,1.0,1.0,0.925898955100381,1.0,1.0,1.0,0.9691245646251586
51,bb25cbb49f9157ae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,52fb49766a14554c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,23ee145aa4de582b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,649ee93e67cc58bb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
