,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,a9152eadc70058ba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,afbbcee34f1850fd,True,1.0,1.0,0.7494760462638501,1.0,1.0,1.0,0.8956150192766043
2,4606b66d9fe75354,True,1.0,1.0,0.6775884853621159,1.0,1.0,1.0,0.8656618689008816
3,2b5dabfa534156c0,True,1.0,1.0,0.8558075151259236,1.0,1.0,1.0,0.9399197979691348
4,16d3bf2e9bf75eb4,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
5,b657fb1afb7c54f3,True,1.0,1.0,0.860779942271158,1.0,1.0,1.0,0.9419916426129825
6,14d171fcb9295596,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,b98d8c3330625df2,True,1.0,1.0,0.589942346377154,1.0,1.0,1.0,0.8291426443238142
8,d7ff11915cdf538e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0b9a48e2b0d351b9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4711d15a356a54e9,True,1.0,1.0,0.8690164703132739,1.0,1.0,1.0,0.9454235292971974
11,595596a88cce5c9d,True,1.0,1.0,0.6179065803024583,1.0,1.0,1.0,0.8407944084593576
12,cfb755b8d37458ac,True,0.0,1.0,0.0,0.0,1.0,0.5,0.0
13,ccfe1da323ed53a9,True,1.0,1.0,0.7275355746109923,1.0,1.0,1.0,0.8864731560879134
14,fdb658e4941855a3,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
15,908f696abf7c5a26,True,1.0,1.0,0.8298304807769363,1.0,1.0,1.0,0.9290960336570567
16,b637b5849b475a18,True,1.0,1.0,0.746536662543021,1.0,1.0,1.0,0.8943902760595921
17,424cdafd92f25209,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,970cfee3bc7d5e3d,True,1.0,1.0,0.9583138219573661,0.0,1.0,1.0,0.5659640924822359
19,7caa2336614b5ad3,True,1.0,1.0,0.9699199748713404,1.0,1.0,1.0,0.9874666561963918
20,ec611f7d00d85b31,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,963a72ef9c615033,True,1.0,1.0,0.8922890120858357,0.0,1.0,1.0,0.5384537550357649
22,7021139b47cf5370,True,1.0,1.0,0.8811711739217646,1.0,1.0,1.0,0.9504879891340686
23,75f91ced021c543e,True,1.0,1.0,0.9175090157328811,1.0,1.0,1.0,0.9656287565553671
24,a9c27d1fdee5599e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,abdc7a57df4a56cd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4543b41a1fec5a97,True,1.0,1.0,0.9156633988733027,1.0,1.0,1.0,0.9648597495305428
27,358d973661955d68,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,bc73190196b358f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,de354f243fa157ec,True,1.0,1.0,0.9204676502878887,1.0,1.0,1.0,0.9668615209532869
30,81ac4c9af9ea5562,True,1.0,1.0,0.6076448796419198,1.0,1.0,1.0,0.8365186998508
31,59a1d448fbdf53f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,f9b16eaee3b956a3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,d987180f18155985,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,748779bcdb5b5a49,True,1.0,1.0,0.9702388236439862,1.0,1.0,1.0,0.9875995098516609
35,313756e5fc655c0e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,8b7d99b5ae2a5219,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1fd8eed8897a5667,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,3baa70a146f055d2,True,1.0,1.0,0.8538955396240839,1.0,1.0,1.0,0.9391231415100348
39,90c6b53ec4a252bc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,dee481365b265a2d,True,1.0,1.0,0.5784714291635137,1.0,1.0,1.0,0.8243630954847974
41,2b04c510144e5545,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,39b5d00781925b16,True,1.0,1.0,0.9972969163217485,1.0,1.0,1.0,0.9988737151340619
43,5444d6dfc06559c3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,3e41024d080454b5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,b3b8544db9025d6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,1a3c8066b86857b5,True,1.0,1.0,0.942431749789239,1.0,1.0,1.0,0.9760132290788496
47,a99280d8424c55b2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,51c2558524435a31,True,1.0,1.0,0.8900085744864128,1.0,1.0,1.0,0.9541702393693386
49,02c8da231eb15ed2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,28113a97a08b5ff1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,ee4ca385da5d5778,True,1.0,1.0,0.7572796341590233,1.0,1.0,1.0,0.8988665142329264
52,91aeae3843455c34,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,776069d80826529d,True,1.0,1.0,0.6803530857166519,1.0,1.0,1.0,0.8668137857152716
54,a1e8639c17ac5089,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,7d59e0ea1e0d524b,True,1.0,1.0,0.5695112960460078,1.0,1.0,1.0,0.8206297066858367
56,b5271c19eef859ed,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
57,026e84581e0f5044,True,1.0,1.0,0.8006787819606139,1.0,1.0,1.0,0.9169494924835891
58,43ce8a5ddf8f5541,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
59,cd7e9823f2b15e0f,True,1.0,1.0,0.9835406033072163,1.0,1.0,1.0,0.9931419180446733
60,c1ea7d700faa5fee,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,cba43d02cf795a0f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,ad5284a6be715f10,True,1.0,1.0,0.31176954487537856,1.0,1.0,0.5,0.713237310364741
63,8e274784672a514b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,fc0a59dcf9d75219,True,1.0,1.0,0.676985621847742,1.0,1.0,1.0,0.8654106757698926
65,96f6cde1205e5865,True,1.0,1.0,0.7328982628730557,1.0,1.0,1.0,0.8887076095304399
66,08b1894421c455ed,True,1.0,1.0,0.9820212816354111,1.0,1.0,1.0,0.992508867348088
67,919fcdbcf46f58d1,True,1.0,1.0,0.9170067039974563,1.0,1.0,1.0,0.9654194599989401
68,84d10a502c1b5a74,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,7f3ebea7b3415f87,True,1.0,1.0,0.8746329302601342,1.0,1.0,1.0,0.9477637209417226
70,7c4757c2c9675f2b,True,1.0,1.0,0.6969480796778833,1.0,1.0,1.0,0.8737283665324513
71,15b0967d1dab53f8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,31ffaa640cf85134,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,4417a92b5b1956b8,True,1.0,1.0,0.8656667262133604,1.0,1.0,1.0,0.9440278025889001
74,553c80b72cdc5c04,True,1.0,1.0,0.8132467306002076,1.0,1.0,1.0,0.9221861377500865
75,4ac092ec1bee5e7a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,406f8b299de35ce2,True,1.0,1.0,0.651939497304238,1.0,1.0,1.0,0.8549747905434325
77,b133316a0e795993,True,1.0,1.0,0.7967467831794935,1.0,1.0,1.0,0.9153111596581223
78,bcb48691833d5afe,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
79,48f9e483baaf58a0,True,1.0,1.0,0.7781561004481725,1.0,1.0,1.0,0.9075650418534051
80,248a920cf01751f1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,4d9c7a900c6c5081,True,1.0,1.0,0.7588527546505369,1.0,1.0,1.0,0.8995219811043903
82,126fd1a0d1675f57,True,1.0,1.0,0.7458608449669717,1.0,1.0,1.0,0.8941086854029049
83,14a11185124a508b,True,1.0,1.0,0.8515201897985517,1.0,1.0,1.0,0.9381334124160632
84,bf4d95ea76b75de7,True,1.0,1.0,0.8527529098797911,1.0,1.0,1.0,0.9386470457832464
85,45c4158a235e514a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,912bc19c43a15d8d,True,1.0,1.0,0.8251284765592698,1.0,1.0,1.0,0.9271368652330292
87,94683fc69ce4599c,True,1.0,1.0,0.5755697603973154,1.0,1.0,1.0,0.8231540668322147
88,bdb32e2af06e5bc9,True,1.0,1.0,0.9256590446392127,1.0,1.0,1.0,0.9690246019330052
89,b02be1e28abb59f1,True,1.0,1.0,0.6851433265897245,1.0,1.0,1.0,0.8688097194123853
90,5dbf07df40a55d2e,True,1.0,1.0,0.8302967994343714,1.0,1.0,1.0,0.9292903330976547
91,c5727dc4f8665554,True,1.0,1.0,0.9896994118493183,1.0,1.0,1.0,0.9957080882705492
92,94693a54967757f6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,0db4879927b35dc0,True,1.0,1.0,0.9479943718528291,1.0,1.0,1.0,0.978330988272012
94,f7d2b771e8425c20,True,1.0,1.0,0.6236604627362152,1.0,1.0,1.0,0.843191859473423
95,15cd405711fa54f8,True,1.0,1.0,0.5869747492014545,1.0,1.0,1.0,0.8279061455006061
96,f1992f61c13e5998,True,1.0,1.0,0.9550490777026847,1.0,1.0,1.0,0.9812704490427852
97,e1e4395724c05092,True,1.0,1.0,0.8511877969205583,1.0,1.0,1.0,0.937994915383566
98,8d7e4421c3e45c99,True,1.0,1.0,0.7802750242281009,1.0,1.0,1.0,0.9084479267617086
99,650ed02359615f58,True,1.0,1.0,0.7147278636671187,1.0,1.0,1.0,0.8811366098612995
100,5e5b6eaacd3f5bdd,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
101,9cb247f1ef445fb9,True,1.0,1.0,0.9009805352976309,1.0,1.0,1.0,0.9587418897073462
102,3ce814811e5252dc,True,1.0,1.0,0.9639714616745187,1.0,1.0,1.0,0.9849881090310495
103,6c321000d6c0527a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,3d8f52b9bae25a90,True,1.0,1.0,0.607843463848294,1.0,1.0,1.0,0.8366014432701224
105,bda5925fd37a5818,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,3984225e4458525b,True,1.0,1.0,0.7873790257429465,1.0,1.0,1.0,0.9114079273928944
107,6914bcabdeec5e0f,True,1.0,1.0,0.7661515706949824,1.0,1.0,1.0,0.9025631544562427
108,ddc904ff3be05595,True,1.0,1.0,0.8958644735085101,1.0,1.0,1.0,0.9566101972952126
109,cdfc50d75d0c56df,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
110,4b3c6a95987c552d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
111,9f4c04b7214b52a8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,9c9b62965da75764,True,1.0,1.0,0.9683769098668648,1.0,1.0,1.0,0.986823712444527
113,7a3e0625f3c751ce,True,1.0,1.0,0.7943516183344939,1.0,1.0,1.0,0.9143131743060392
114,f7e52770089e5230,True,1.0,1.0,0.7871715587637534,1.0,1.0,1.0,0.9113214828182307
115,927222aceeaa52bb,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
116,e2fe44045eac5b89,True,1.0,1.0,0.8715456511202601,1.0,1.0,1.0,0.9464773546334416
117,57730912486a5853,True,1.0,1.0,0.8564907892685953,1.0,1.0,1.0,0.9402044955285813
118,d9422fc7065e5b62,True,1.0,1.0,0.6310910064360149,1.0,1.0,1.0,0.8462879193483396
119,e9cb16355c1f5d9b,True,1.0,1.0,0.8286367131319368,1.0,1.0,1.0,0.9285986304716403
120,af682242313853cb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,1b0f2e4276945f9a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,f264f464b21753de,True,1.0,1.0,0.9317502567800542,1.0,1.0,1.0,0.9715626069916893
123,97b1ea53fad65625,True,1.0,1.0,0.9796005412103694,1.0,1.0,1.0,0.9915002255043207
124,8396adcdedb55337,True,1.0,1.0,0.732746330206427,1.0,1.0,1.0,0.8886443042526779
125,8d7c5f26b9775cce,True,1.0,1.0,0.729143348324905,1.0,1.0,1.0,0.8871430618020438
126,d32f8367252b53b1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,8673d97f94ae5700,True,1.0,1.0,0.8552153544953258,1.0,1.0,1.0,0.9396730643730523
128,8067c4f48fe45421,True,1.0,1.0,0.9723220117982105,1.0,1.0,1.0,0.9884675049159211
129,3fa9c77540225eae,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,9695a17335715894,True,1.0,1.0,0.7548262674358359,1.0,1.0,1.0,0.897844278098265
131,35b810aad36b553a,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
132,f39952caeb2b5014,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
133,508511fd38a15d52,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
134,5af27ca0b8135d9d,True,1.0,1.0,0.8851110751986443,1.0,1.0,1.0,0.9521296146661018
135,002a52b0ed5650da,True,1.0,1.0,0.811531051962264,1.0,1.0,1.0,0.9214712716509433
136,c2ce362b9cf95fee,True,1.0,1.0,0.7614640912137748,1.0,1.0,1.0,0.9006100380057395
137,a30baeb5294658b3,True,1.0,1.0,0.8357017135437966,1.0,1.0,1.0,0.9315423806432485
138,91fc00df56ae5aca,True,1.0,1.0,0.7358765674275359,1.0,1.0,1.0,0.8899485697614734
139,a312f24a197d530c,True,1.0,1.0,0.8797113139361251,1.0,1.0,1.0,0.9498797141400521
140,7fb4ab2c7e8c527f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
141,2381f042c0855f20,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,34ed4880444350af,True,1.0,1.0,0.9453696522500136,1.0,1.0,1.0,0.9772373551041724
143,ea85208e83eb57b6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,9b4e0723f48755fb,True,1.0,1.0,0.9122467733666199,1.0,1.0,1.0,0.963436155569425
145,c9f0c60627ba5237,True,1.0,1.0,0.9083945229457228,1.0,1.0,1.0,0.9618310512273845
146,c4fad4d040a75b90,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
147,2be2e48e80985bee,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
148,10779d3fd7815d2f,True,1.0,1.0,0.8077090809972454,1.0,1.0,1.0,0.9198787837488522
149,ca62812a55ce5f0b,True,1.0,1.0,0.8032209643393545,1.0,1.0,1.0,0.9180087351413976
150,0558c7a64ef157b1,True,1.0,1.0,0.9984258315204267,1.0,1.0,1.0,0.9993440964668444
151,b691d77ef9ff5d5e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,7fa739c174a55eaa,True,1.0,1.0,0.8736142937754833,1.0,1.0,1.0,0.9473392890731182
153,373707159e77583c,True,1.0,1.0,0.9003493603379059,1.0,1.0,1.0,0.9584789001407942
154,0df7b61597705cf2,True,1.0,1.0,0.702675227096034,1.0,1.0,1.0,0.8761146779566809
155,e699fb1c75b95e57,True,1.0,1.0,0.7803086051681208,1.0,1.0,1.0,0.9084619188200503
156,ba69be06341d5b2b,True,1.0,1.0,0.9914861887742964,1.0,1.0,1.0,0.9964525786559569
157,c20652fc6a78529b,True,1.0,1.0,0.6739833715508833,1.0,1.0,1.0,0.8641597381462014
158,b751857996975e6c,True,1.0,1.0,0.8465474753547682,1.0,1.0,1.0,0.9360614480644868
159,95612e81595b568f,True,1.0,1.0,0.9426925421080411,1.0,1.0,1.0,0.9761218925450171
160,7ceb065003f25449,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
161,9fc5098e21355c6e,True,1.0,1.0,0.8587675841682443,1.0,1.0,1.0,0.9411531600701019
162,aa58dfcb46765181,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,9d9aced6d8da5f28,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
164,9483bda6b31259bd,True,1.0,0.0,0.0,1.0,1.0,0.0,0.0
165,be0ea3126c955eae,True,1.0,1.0,0.6559786524678973,1.0,1.0,1.0,0.8566577718616238
166,88862af321ce5c8f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
167,8cbe3bf8cf9c5718,True,1.0,1.0,0.8892474041745695,1.0,1.0,1.0,0.9538530850727373
168,667afe1f010351c5,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0
169,fbf2eaa61abb5a2f,True,1.0,1.0,0.9248239974905198,1.0,1.0,1.0,0.9686766656210498
170,d719f6e5de715f5a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
171,4b9627827aff5013,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172,f3fc5020ecbd537f,True,1.0,1.0,0.9156338502267297,1.0,1.0,1.0,0.9648474375944707
173,eabdad9a669b5739,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
174,b5f57f5a6b5b5244,True,1.0,1.0,0.5707429108813084,1.0,1.0,1.0,0.8211428795338785
175,9d55692d15dc5155,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
176,98e3abe2a38c5156,True,1.0,1.0,0.5378894722846699,1.0,1.0,1.0,0.8074539467852792
177,86d5685d21d15ee9,True,1.0,1.0,0.7129369555674663,1.0,1.0,1.0,0.880390398153111
178,078f05d9e9c05230,True,1.0,1.0,0.7772860892410908,1.0,1.0,1.0,0.9072025371837878
179,92a263b537fd5b72,True,1.0,1.0,0.8592507703577038,1.0,1.0,1.0,0.9413544876490433
180,62515ff6d52a5e89,True,1.0,1.0,0.8181135342354136,1.0,1.0,1.0,0.924213972598089
181,bc667a4fc0f454d7,True,1.0,1.0,0.8795593244473782,1.0,1.0,1.0,0.9498163851864075
182,4f67484c73e2503a,True,1.0,1.0,0.8703990073768493,1.0,1.0,1.0,0.9459995864070206
183,f0d6814d23245178,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,5380625bddba59a2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
185,312c0f2f981d51c3,True,1.0,1.0,0.7825447359172286,1.0,1.0,1.0,0.9093936399655119
186,6e49c17c51db5a5c,True,1.0,1.0,0.596088067337239,1.0,1.0,1.0,0.8317033613905163
187,77f9c895af8b59f3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
188,a7705685069f5979,True,1.0,1.0,0.9344951771071963,1.0,1.0,1.0,0.972706323794665
189,967b41c4778d5aac,True,1.0,1.0,0.8779857855026925,1.0,1.0,1.0,0.9491607439594553
190,1809a28a46465129,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
191,dd1ab5d48c6358ef,True,1.0,1.0,0.7575038370967796,1.0,1.0,1.0,0.8989599321236582
192,21146ac996365854,True,1.0,1.0,0.8051175366428797,1.0,1.0,1.0,0.9187989736011999
193,dd43c6087aca5206,True,1.0,1.0,0.7149117065511111,1.0,1.0,1.0,0.881213211062963
194,e2efd574ab0b56a2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
195,a97ceb2edd0251f9,True,1.0,1.0,0.941631823496755,1.0,1.0,1.0,0.9756799264569812
196,5b3db54a43ca52ed,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,0c318d7923d15b78,True,1.0,1.0,0.9461100031224546,1.0,1.0,1.0,0.9775458346343561
198,5c934edce20758e5,True,1.0,1.0,0.7180612610521713,1.0,1.0,1.0,0.8825255254384047
199,f5cf721a02df5ba1,True,1.0,1.0,0.826547355393256,1.0,1.0,1.0,0.9277280647471899
200,059ce9cd10135396,True,1.0,1.0,0.9207495670590209,1.0,1.0,1.0,0.966978986274592
201,3be53588a286557f,True,1.0,1.0,0.8847343078412022,1.0,1.0,1.0,0.9519726282671677
202,18c781197c445d64,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
203,ba190b181dc85a2b,True,1.0,1.0,0.8774385923815357,1.0,1.0,1.0,0.94893274682564
204,b043b68462d7540c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205,aef33fdade585ab3,True,1.0,1.0,0.9164400116256728,1.0,1.0,1.0,0.9651833381773637
206,b3a00387265a5cdc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
207,9933a1df50ff5919,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
208,4a0ba18cefc05c63,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
209,54c208abe15c56e5,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
210,4768080b04d5530e,True,1.0,1.0,0.9013066818577428,1.0,1.0,1.0,0.9588777841073929
211,b9f3b69b160e5ad0,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
212,43c8e05e697f5abe,True,1.0,1.0,0.9438495802393959,1.0,1.0,1.0,0.976603991766415
213,2cc421e9b3fd5c17,True,1.0,1.0,0.947299450520341,1.0,1.0,1.0,0.9780414377168087
214,be3551ae467a579e,True,1.0,1.0,0.8959187230664384,1.0,1.0,1.0,0.9566328012776827
215,0855e09733fe5445,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
216,352fabb819b95d6c,True,1.0,1.0,0.5634803222232273,1.0,1.0,1.0,0.8181168009263446
217,427ee2e0d1c05699,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
218,dd2b5010e1d25d72,True,1.0,1.0,0.8732747618604753,1.0,1.0,1.0,0.9471978174418648
219,581a74871330567f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,c29fb70bf1d056ca,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,875f14a6967d5192,True,1.0,1.0,0.9065062767694715,1.0,1.0,1.0,0.9610442819872796
222,14b839d065b358d0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
223,5004df3161065742,True,1.0,1.0,0.6836167840510059,1.0,1.0,1.0,0.8681736600212524
224,db951dbc3e595c29,True,1.0,1.0,0.9398921559601249,1.0,1.0,1.0,0.9749550649833854
225,b04c892043a352d3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
226,39f91a002193578a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
227,789af91cd1755b7e,True,1.0,1.0,0.7520735145641455,1.0,1.0,1.0,0.8966972977350606
228,7328fe7f857051ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
229,8d83f07bed9d5f6a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
230,9d7030a6966b54cd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
231,ad517de61e355d8d,True,1.0,1.0,0.7266826692431966,1.0,1.0,1.0,0.8861177788513319
232,c887e4bc08f85aa5,True,0.5,1.0,0.6203536045286798,0.0,1.0,1.0,0.21257366761014163
233,4750f239602d5627,True,1.0,1.0,0.8047436505155,1.0,1.0,1.0,0.9186431877147916
234,a1ff2db262ab5db7,True,1.0,1.0,0.9534430009121369,1.0,1.0,1.0,0.9806012503800571
235,a0801105ad8b5ad3,True,1.0,1.0,0.7988907578848269,1.0,1.0,1.0,0.9162044824520112
236,bf1064685f045d97,True,1.0,1.0,0.790284627555295,1.0,1.0,1.0,0.9126185948147062
237,697882c22eb65ca7,True,1.0,0.0,0.0,0.0,1.0,1.0,0.0
238,3a36b098acee53b9,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
239,1dc437ce152e55fa,True,1.0,1.0,0.7433539326568571,1.0,1.0,1.0,0.8930641386070238
240,3ae409424da65443,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
241,cc7d3c360c345a4b,True,1.0,1.0,0.6565804928505727,1.0,1.0,1.0,0.8569085386877386
242,74c77891a7d45a15,True,1.0,1.0,0.8668667767210535,1.0,1.0,1.0,0.9445278236337723
243,5155241fdbbf57b3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
244,313a7a6feb1c5490,True,1.0,1.0,0.7518085857493284,1.0,1.0,1.0,0.8965869107288867
245,4763f30d505c5ea6,True,1.0,1.0,0.6554702374697834,1.0,1.0,1.0,0.8564459322790764
246,4c24c3efe0e4519d,True,1.0,1.0,0.7933779286881477,1.0,1.0,1.0,0.9139074702867283
247,3010009fcb295507,True,1.0,1.0,0.8840649411877155,1.0,1.0,1.0,0.9516937254948815
248,2f525b2a3cf35331,True,1.0,1.0,0.9094208073715869,1.0,1.0,1.0,0.9622586697381612
249,768ae2e06b1e5d90,True,1.0,1.0,0.8585369238708446,1.0,1.0,1.0,0.9410570516128519
250,806b014bc8c15160,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
251,fd3606c29f3f57fb,True,1.0,1.0,0.7995061924500233,1.0,1.0,1.0,0.9164609135208431
252,3f19f97d980754f7,True,1.0,1.0,0.8895531341563715,1.0,1.0,1.0,0.9539804725651547
253,c9459a7641335bba,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
254,f71f0d4ca6db5d40,True,1.0,1.0,0.7296526696689276,1.0,1.0,1.0,0.8873552790287199
255,8b369f66349d550a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256,3dc04b54c3515f56,True,1.0,1.0,0.8523716680978073,1.0,1.0,1.0,0.938488195040753
257,3b3e36e9d816563c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
258,d83c3b7416f3577e,True,1.0,1.0,0.7941893221135202,1.0,1.0,1.0,0.9142455508806334
259,512b6941e1335e0f,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
260,c13f0e8db9b15c69,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
261,62735179d4f258ea,True,1.0,1.0,0.7792953105742565,1.0,1.0,1.0,0.9080397127392735
262,d07c624bab3d5a61,True,1.0,1.0,0.8926499865904375,1.0,1.0,1.0,0.9552708277460157
263,b318cf82212f5443,True,1.0,1.0,0.6717595043396813,1.0,1.0,1.0,0.8632331268082005
