,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,a6e7189b4bd35946,True,1.0,1.0,0.8650416037023079,1.0,1.0,1.0,0.9437673348759615
1,d8320bd0be9a50b3,True,1.0,1.0,0.7788684192609503,1.0,1.0,1.0,0.9078618413587293
2,14128c4b87b15777,True,1.0,1.0,0.6424659228343671,1.0,1.0,1.0,0.8510274678476529
3,e393bc5cafe95872,True,1.0,1.0,0.8758525818213829,1.0,1.0,1.0,0.9482719090922429
4,084ce89976f1505e,True,1.0,1.0,0.977301340854176,1.0,1.0,1.0,0.9905422253559065
5,ed01297783a05dba,True,1.0,1.0,0.842627089189816,1.0,1.0,1.0,0.9344279538290899
6,063f7dfe767d55aa,True,1.0,1.0,0.8729173882513852,1.0,1.0,1.0,0.9470489117714105
7,1b00de050fdd5214,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,7779c453de865aff,True,1.0,1.0,0.8108620656300989,1.0,1.0,1.0,0.9211925273458745
9,c5a2a467d5e25058,True,1.0,1.0,0.9632621968573096,1.0,1.0,1.0,0.9846925820238791
10,409711b03072566a,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
11,6303f880d5c05166,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,3d4f0c1ecad55944,True,1.0,1.0,0.8061953692210679,1.0,1.0,1.0,0.9192480705087783
13,1727319cfd2b5661,True,1.0,1.0,0.9253631240644576,1.0,1.0,1.0,0.9689013016935241
14,03ffae8f89f65f90,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,08e5f4c2c0965b15,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,c400f7664ba35555,True,1.0,1.0,0.7810460108843338,1.0,1.0,1.0,0.9087691712018057
17,afd9edcb6d94521f,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
18,ccffd575a3fb5958,True,1.0,1.0,0.9337807170734251,1.0,1.0,1.0,0.9724086321139271
19,ab4015c25a66588a,True,1.0,1.0,0.8756149204326574,1.0,1.0,1.0,0.9481728835136073
20,18b5995484435fbe,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0e70c369a99157c3,True,1.0,1.0,0.7582537407224076,1.0,1.0,1.0,0.8992723919676698
22,f3282fb9352c5c9c,True,1.0,1.0,0.802277975507425,1.0,1.0,1.0,0.9176158231280938
23,66583dab627951a2,True,1.0,1.0,0.7553022665912335,1.0,1.0,1.0,0.8980426110796805
24,4d4ef3ee372d5afc,True,1.0,1.0,0.7688534468617944,1.0,1.0,1.0,0.9036889361924144
25,ca7e845b9c19597c,True,1.0,1.0,0.6985985428489363,1.0,1.0,1.0,0.8744160595203901
26,c87001c4251e559a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,29d3fc42d08d57d2,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,bbd5fbbe6cbb5a6f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,589c06909f1c5c27,True,1.0,1.0,0.850813924110989,1.0,1.0,1.0,0.9378391350462453
30,75c91bd683535274,True,1.0,1.0,0.8212321730816354,1.0,1.0,1.0,0.9255134054506815
31,7da863f64a5f5e90,True,1.0,0.0,0.0,1.0,1.0,0.5,0.0
32,79322494f7975811,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,11094634534c53fd,True,1.0,1.0,0.7157306254951535,1.0,1.0,1.0,0.8815544272896473
34,4b3d6fc60b815701,True,1.0,1.0,0.7321312608536883,1.0,1.0,1.0,0.8883880253557034
35,40c5ce24f85a5540,True,1.0,1.0,0.9257942350070522,1.0,1.0,1.0,0.9690809312529384
36,000bf168dd5159af,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
37,3a7818b46809570a,True,1.0,1.0,0.775548000875019,1.0,1.0,1.0,0.9064783336979246
38,305eb53245715f7e,True,1.0,1.0,0.3506877694620395,1.0,1.0,1.0,0.7294532372758499
39,aad72be88eab564c,True,1.0,1.0,0.7168022663646573,1.0,1.0,1.0,0.8820009443186073
40,cd008a1ed571512f,True,1.0,1.0,0.8149707573586134,1.0,1.0,1.0,0.9229044822327556
41,0854af027e06530a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,f1ae4feebfda5b75,True,1.0,1.0,0.8701821651796937,1.0,1.0,1.0,0.945909235491539
43,4e52fd2c46fa5a3f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,3aa8e5d80d5d5d9b,True,1.0,1.0,0.8630755150417891,1.0,1.0,1.0,0.9429481312674121
45,01d061d9a66451ea,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,ce567ba416055525,True,1.0,1.0,0.7861881082653968,1.0,1.0,1.0,0.9109117117772486
47,feb4ce395d4d54fb,True,1.0,1.0,0.7876034308880365,1.0,1.0,1.0,0.9115014295366818
48,324cb0d226a45b91,True,1.0,1.0,0.6947226110288449,1.0,1.0,1.0,0.8728010879286853
