,token,valid,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
0,570967c07a8251a2,True,1.0,1.0,0.7573141866034543,1.0,1.0,1.0,0.8988809110847726
1,aa22b810e3395182,True,1.0,1.0,0.8750425058208341,1.0,1.0,1.0,0.9479343774253476
2,bb8497b5cf575e3a,True,1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
3,229de058ec7b59bd,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,752255614d7f569a,True,1.0,1.0,0.6887970384662536,1.0,1.0,1.0,0.870332099360939
5,a4213d4e327c5b6e,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,af67221644ad5bd3,True,1.0,1.0,0.7152978216374272,1.0,1.0,1.0,0.881374092348928
7,d2d30ecb18db52f9,True,1.0,1.0,0.7433958394178675,1.0,1.0,1.0,0.8930815997574447
8,2a7b12a784c351c3,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
9,46adda2ea05a50a4,True,1.0,1.0,0.9176984485645577,1.0,1.0,1.0,0.965707686901899
10,81b8a8b98a655f0f,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,ebe1b48a47f356a4,True,1.0,1.0,0.7919707992470544,1.0,1.0,1.0,0.9133211663529393
12,f2280f25f98852c0,True,1.0,1.0,0.9330118314701841,1.0,1.0,1.0,0.9720882631125768
13,02799c5e8bf35595,True,1.0,1.0,0.7833895876600911,1.0,1.0,1.0,0.909745661525038
14,f23d4a49b1c753bc,True,1.0,1.0,0.8429515820316129,1.0,1.0,1.0,0.9345631591798388
15,e7b0fe1f4b13597c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,7684ff2627555f4e,True,1.0,1.0,0.9977065177295906,1.0,1.0,1.0,0.9990443823873294
17,afb6f330e8665731,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
18,b9013028b5d45eee,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,ddd3fc0cf919567b,True,1.0,1.0,0.9003879603012607,1.0,1.0,1.0,0.9584949834588586
20,26101d0a7f79587c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,aa2c4edb15d45c84,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,523ab1ffcace56f6,True,1.0,1.0,0.715194503184356,1.0,1.0,1.0,0.8813310429934816
23,8f224f01713a5376,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,5491f2f619e25dfb,True,1.0,1.0,0.8246197798667305,1.0,1.0,1.0,0.9269249082778043
25,669bad5f20bd5256,True,1.0,1.0,0.8455680105062469,1.0,1.0,1.0,0.9356533377109363
26,4b6b3a81cc235dbf,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,b3e8baac7b4d5e4a,True,1.0,1.0,0.8731671817788635,1.0,1.0,1.0,0.9471529924078599
28,6782b9c3686f58f3,True,1.0,1.0,0.43107796206970295,1.0,1.0,0.5,0.7629491508623762
29,0c3c5692dcdd5bdc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1ea152f7056659a9,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
31,41b4a4440a3e59fc,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,192220ae5c0a54a6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0efc84a20a7d5b07,True,1.0,1.0,0.5728812037669617,1.0,1.0,1.0,0.8220338349029007
34,2d0c8a7a065e5995,True,1.0,1.0,0.7838183204169419,1.0,1.0,1.0,0.9099243001737257
35,c296ded44f9a509a,True,1.0,1.0,0.7832535350537725,1.0,1.0,1.0,0.9096889729390719
36,7bbacd116bd75f85,True,1.0,1.0,0.9102603549369106,1.0,1.0,1.0,0.9626084812237128
37,c69051fe82a95f3c,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,b84c079a32635d34,True,1.0,1.0,0.7697031331049162,1.0,1.0,1.0,0.9040429721270483
39,330ca2e9aa935a3a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,48ee746b1bfb5e7a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,23fb1660b6985e05,True,1.0,1.0,0.8489625192170407,1.0,1.0,1.0,0.9370677163404336
42,958677976f9c5b0a,True,1.0,1.0,0.7550096705249368,1.0,1.0,1.0,0.8979206960520569
43,98042465f30c589d,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,511741d6df93540d,True,1.0,1.0,0.9991861406431609,1.0,1.0,1.0,0.9996608919346505
45,52c1d14554bb51f5,True,1.0,1.0,0.7108368869593347,1.0,1.0,1.0,0.8795153695663895
46,beb963305ad75bb3,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,7683c293a5a55dce,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,ccf5fed938d95a04,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,87339a4d32305504,True,1.0,1.0,0.8802448689303004,1.0,1.0,1.0,0.9501020287209586
50,f75560fb13f25476,True,1.0,1.0,1.0,1.0,1.0,0.5,1.0
51,3296651e2cf0547d,True,1.0,1.0,0.6869235281527007,1.0,1.0,1.0,0.8695514700636253
52,79efd3e82ef059b6,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,c3d78ec633fa57be,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,5db9d1088a615a4b,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,b0b461ce7bd959ec,True,1.0,1.0,0.8645782637519603,1.0,1.0,1.0,0.9435742765633167
56,5ab779b8a0995778,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,31013d67978e5284,True,1.0,1.0,0.8066776487342083,1.0,1.0,1.0,0.9194490203059201
58,bee7eebe90dd5285,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,c3e80fd14bce51a0,True,1.0,1.0,0.7200806798333521,1.0,1.0,1.0,0.8833669499305633
60,56af844c0e0a53ce,True,1.0,1.0,0.8545564840267362,1.0,1.0,1.0,0.93939853501114
61,087df0996ade50d3,True,1.0,1.0,0.8738457677811861,1.0,1.0,1.0,0.9474357365754941
62,5c786c10eb7f57da,True,1.0,1.0,0.9148438309526299,1.0,1.0,1.0,0.9645182628969291
63,3de31c78c86c52b7,True,1.0,1.0,0.9347104810297995,1.0,1.0,1.0,0.9727960337624165
64,e6db7be94a175aec,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
65,69e3344606a55c73,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,7e052b9f5ca25531,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
67,a48a9d9bb413549a,True,1.0,1.0,0.7744127020288752,1.0,1.0,1.0,0.9060052925120313
68,d4e9c2fa89c55897,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,9c4e60dd8e9959d8,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,aaf90b3acdce5063,True,1.0,1.0,0.9841161017283548,0.0,1.0,1.0,0.5767150423868145
71,ed69e15d85ab50a6,True,1.0,1.0,0.8154842645154646,1.0,1.0,1.0,0.9231184435481102
72,eaa64f296ff85b61,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,ad702ac65d8754bb,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,72a9c8aa9d1a580c,True,1.0,1.0,0.8948076965587196,1.0,1.0,1.0,0.9561698735661333
75,8470627d628e55f6,True,1.0,1.0,0.7918185060174406,1.0,1.0,1.0,0.9132577108406003
76,a0b3a3b623235a49,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,0dc54a8c8203567b,True,1.0,1.0,0.7217489031781489,1.0,1.0,1.0,0.8840620429908954
78,0d63314a528159c9,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
79,94d74f87c8435b61,True,1.0,1.0,0.8394622313553793,1.0,1.0,1.0,0.9331092630647414
80,5fffee1a19495dc6,True,1.0,1.0,0.6631566880102375,1.0,1.0,1.0,0.8596486200042657
81,7af0e9b8a12056e8,True,1.0,0.0,0.0,1.0,1.0,1.0,0.0
82,09df1da0af885ddd,True,1.0,1.0,0.7594972838887079,1.0,1.0,1.0,0.8997905349536283
83,43a4f01072795345,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,1b96821ba3425e3b,True,1.0,1.0,0.9061187465136478,1.0,1.0,1.0,0.9608828110473532
85,b55cc20818705801,True,1.0,1.0,0.9165259956292601,1.0,1.0,1.0,0.9652191648455251
86,75a8be89195651aa,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,b9238f564f875dfc,True,1.0,1.0,0.8517872594257053,1.0,1.0,1.0,0.9382446914273772
88,fdfad1317cd75455,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,1dcac8bb6872533b,True,1.0,1.0,0.8769446404785749,1.0,1.0,1.0,0.9487269335327394
90,1e73524ff61b5a70,True,1.0,1.0,0.9362499335726618,1.0,1.0,1.0,0.9734374723219424
91,3b5ea54bfd575d68,True,1.0,1.0,0.7925714494978304,1.0,1.0,1.0,0.9135714372907627
92,37e2bc0cb5a053a5,True,1.0,1.0,0.8955055343569552,1.0,1.0,1.0,0.9564606393153982
